created_at,id,text,user_id,user_screen_name
Sat Jun 10 08:00:54 +0000 2017,873449882949779460,"RT @WatchJews: Newly hired New York Times columnist (((Bret Stephens))), emblematic of his race, said ""I'd kill Assad right away""… ",923745302,chronic240
Sat Jun 10 08:00:54 +0000 2017,873449882949779460,"RT @WatchJews: Newly hired New York Times columnist (((Bret Stephens))), emblematic of his race, said ""I'd kill Assad right away""… ",923745302,chronic240
Sat Jun 10 09:48:05 +0000 2017,873476856485302272,RT @yagizefe: Ankara Valiliği itiraf etti: 15 temmuzda kayıtsız silah dağıttık - https://t.co/3zGzHmL3vI https://t.co/VZktXbVGRf,2239136708,peacemakertr
Sat Jun 10 09:48:05 +0000 2017,873476856485302272,RT @yagizefe: Ankara Valiliği itiraf etti: 15 temmuzda kayıtsız silah dağıttık - https://t.co/3zGzHmL3vI https://t.co/VZktXbVGRf,2239136708,peacemakertr
Sat Jun 10 07:06:15 +0000 2017,873436129797656576,삶은 나약함을 용서하지 않는다.소위 자비로움이란 종교적인 헛소리에 지나지 않는다.,291273472,tmdflakstp
Sat Jun 10 07:42:51 +0000 2017,873445340493606912,"RT @residgulerdem: örnek vermek gerekirse,
-gemi ve gazino
şapkasız,
-meblağ 
şapkalı yazılıyor!..
https://t.co/X2lHel08Ay",822423903112929280,sabircaglayani
Sat Jun 10 10:42:58 +0000 2017,873490668336930816,"RT @Ceritm: Mee eens, maar politici moeten ook leten onderscheid maken tussen extremisten en normale moslims/#islam. https://t.co/rGlwMZd7yZ",809035726050525185,akinl01
Sat Jun 10 10:42:58 +0000 2017,873490668336930816,"RT @Ceritm: Mee eens, maar politici moeten ook leten onderscheid maken tussen extremisten en normale moslims/#islam. https://t.co/rGlwMZd7yZ",809035726050525185,akinl01
Sat Jun 10 06:49:27 +0000 2017,873431901943549952,"RT @AmyMek: Call for Action! Where is the #WomensMarch now? 

Sharia is being applied on US airlines! Imagine if this was a Chr… ",873410651758227456,kat_cujo
Sat Jun 10 06:49:27 +0000 2017,873431901943549952,"RT @AmyMek: Call for Action! Where is the #WomensMarch now? 

Sharia is being applied on US airlines! Imagine if this was a Chr… ",873410651758227456,kat_cujo
Sat Jun 10 11:18:43 +0000 2017,873499665135800320,Anlatsinlar amk neyi bekliyorlar https://t.co/UgR8jNzsMT,434583347,loenMKA
Sat Jun 10 11:18:45 +0000 2017,873499673511723012,"RT @toprak_ol: CANLI YAYIN-BUGÜN
Hocaefendi ile Mukabele (2)

ABD saati 07:00 PM
TR saati Gece 02:00
EU saati Gece 01:00

Mecralar: https:/…",704422228943765505,Nusretk98384173
Sat Jun 10 11:18:45 +0000 2017,873499673511723012,"RT @toprak_ol: CANLI YAYIN-BUGÜN
Hocaefendi ile Mukabele (2)

ABD saati 07:00 PM
TR saati Gece 02:00
EU saati Gece 01:00

Mecralar: https:/…",704422228943765505,Nusretk98384173
Sat Jun 10 11:36:36 +0000 2017,873504165607219200,"RT @birhakperest: @FGulencomTR @Herkul_Nagme @ozgurherkul #BenŞâhidim
170 küsur ülkede Hizmet eden arkadaşlarımız beni mahcup etmedil… ",880682900,ibilgic32
Sat Jun 10 11:36:36 +0000 2017,873504165607219200,"RT @birhakperest: @FGulencomTR @Herkul_Nagme @ozgurherkul #BenŞâhidim
170 küsur ülkede Hizmet eden arkadaşlarımız beni mahcup etmedil… ",880682900,ibilgic32
Sat Jun 10 10:07:07 +0000 2017,873481646405758976,"RT @mfatihmertt: Fethullah Gülen Hocaefendi ile Mukabele [CANLI]
Cumartesi'yi Pazar'a bağlayan gece
TR saati 02:00
@osimsek_herkul… ",964481845,HasanBaris1976
Sat Jun 10 10:07:42 +0000 2017,873481793198055424,Katar meselesine bir de bu pencereden bakın! Farklı Pencere iyidir... https://t.co/RdViC4O7eD,113587188,GaripAdams
Sat Jun 10 10:07:43 +0000 2017,873481797388173312,RT @mehmetcheliklv: Katar meselesine tulumbanın suyu olarak bakabilirsiniz! Kirli paralarını Katar üzerinden aklayıp piyasayı ayakta tutuyo…,985018430,Gulaygulaydem
Sat Jun 10 09:30:32 +0000 2017,873472439916920834,"RT @GoldingBF: Juncker calls for QUICK start to Brexit talks! - https://t.co/XOAjJQVDWA
Follow: @GoldingBF https://t.co/zRt26C9Tgt",790175783293714432,PIPOLINO007
Sat Jun 10 09:30:32 +0000 2017,873472439916920834,"RT @GoldingBF: Juncker calls for QUICK start to Brexit talks! - https://t.co/XOAjJQVDWA
Follow: @GoldingBF https://t.co/zRt26C9Tgt",790175783293714432,PIPOLINO007
Sat Jun 10 10:07:43 +0000 2017,873481797388173312,RT @mehmetcheliklv: Katar meselesine tulumbanın suyu olarak bakabilirsiniz! Kirli paralarını Katar üzerinden aklayıp piyasayı ayakta tutuyo…,985018430,Gulaygulaydem
Sat Jun 10 07:43:57 +0000 2017,873445617338654720,"RT @erkamtufan: Katar’a asker olarak AKP lilerin çocuklarını göndersinler. 

Başlarında da 

‘Bedelli’ Bilal ile ‘çürük’ Burak olsun",777763361140408320,BudaGecerya
Sat Jun 10 07:43:57 +0000 2017,873445617338654720,"RT @erkamtufan: Katar’a asker olarak AKP lilerin çocuklarını göndersinler. 

Başlarında da 

‘Bedelli’ Bilal ile ‘çürük’ Burak olsun",777763361140408320,BudaGecerya
Sat Jun 10 07:26:15 +0000 2017,873441162962620416,"RT @turanfelek: 2-Burnunu,çenesini ve kaburgasını kırdığı paşaya,ayağın mı takıldı diye dalga geçen,Barış Dedebağı 15 Temmuz'da siv… ",214470817,nr_kns
Sat Jun 10 11:02:19 +0000 2017,873495537932173313,"RT @writebuild: People can call us whatever you want, incl #antisemitic. We're not ok with #Jews controlling our money supply, the Federal…",991330362,MarkoSket
Sat Jun 10 11:02:19 +0000 2017,873495537932173313,"RT @writebuild: People can call us whatever you want, incl #antisemitic. We're not ok with #Jews controlling our money supply, the Federal…",991330362,MarkoSket
Sat Jun 10 07:08:37 +0000 2017,873436725409968128,"RT @ahamitbilici: Okul açan, yurt yapan, kermes düzenleyip 
ihtiyaç sahibi öğrencilere burs veren inançlı insanları terörist ilan ede… ",992759371,SosyalGokkubbe
Sat Jun 10 07:08:37 +0000 2017,873436725409968128,"RT @ahamitbilici: Okul açan, yurt yapan, kermes düzenleyip 
ihtiyaç sahibi öğrencilere burs veren inançlı insanları terörist ilan ede… ",992759371,SosyalGokkubbe
Sat Jun 10 08:39:33 +0000 2017,873459609515810816,"RT @AmyMek: Call for Action! Where is the #WomensMarch now? 

Sharia is being applied on US airlines! Imagine if this was a Chr… ",4644467375,ZoeyMichael6
Sat Jun 10 08:39:33 +0000 2017,873459609515810816,"RT @AmyMek: Call for Action! Where is the #WomensMarch now? 

Sharia is being applied on US airlines! Imagine if this was a Chr… ",4644467375,ZoeyMichael6
Sat Jun 10 10:09:35 +0000 2017,873482267154370561,RT @tubacabuk_: https://t.co/8SWatL1fLP Sizden ricamız sadece eşim adına degil tüm dünyadaki haksızlıkların bitmesi adına bu kampanyaya 3 d…,977033918,muhabbet_iksiri
